Kode,info_longName,info_sector,info_industry,info_marketCap,info_category,trading_recommendation,technical_trend,technical_momentum,technical_signal,price_action_market_structure,price_action_market_total_zones,fundamental_score,fundamental_rating,valuation_score,valuation_conclusion,valuation_reason,valuation_notes,info_website
KIOS.JK,PT Kioson Komersial Indonesia Tbk,Technology,Software - Application,213020852224.0,Kecil,WAIT,SIDEWAYS,LEMAH (BEARISH),NO TRADE,LL,24.0,20.0,BURUK 🔴,10.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PBV wajar,https://www.kioson.app
SMAR.JK,PT Sinar Mas Agro Resources and Technology Tbk,Consumer Defensive,Farm Products,16515111845888.0,Menengah,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,36.0,20.0,BURUK 🔴,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.smart-tbk.com
INPS.JK,PT Indah Prakasa Sentosa Tbk,Industrials,Trucking,331499995136.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,16.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ Harga di bawah nilai buku (murah),https://www.inprasegroup.co.id
FUTR.JK,PT Lini Imaji Kreasi Ekosistem Tbk,Utilities,Utilities - Renewable,4246753247232.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,30.0,20.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PBV sangat tinggi,https://futr.asia
ARTO.JK,PT Bank Jago Tbk,Financial Services,Banks - Regional,26475143102464.0,Menengah,WAIT,BEARISH,LEMAH (BEARISH),SELL,HL,36.0,20.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://www.jago.com
SIMP.JK,PT Salim Ivomas Pratama Tbk,Consumer Defensive,Packaged Foods,9223279738880.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,26.0,20.0,BURUK 🔴,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.simp.co.id
PPRE.JK,PT PP Presisi Tbk,Industrials,Engineering & Construction,2164869562368.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,25.0,20.0,BURUK 🔴,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.pp-presisi.co.id
HERO.JK,PT DFI Retail Nusantara Tbk,Consumer Cyclical,Department Stores,1916104343552.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,LL,33.0,20.0,BURUK 🔴,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PBV rendah,https://www.dfinusantara.co.id
GSMF.JK,PT Equity Development Investment Tbk,Financial Services,Insurance - Diversified,1835721555968.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,30.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|✅ Harga di bawah nilai buku (murah),https://www.theequityone.com
SDPC.JK,PT Millennium Pharmacon International Tbk,Healthcare,Medical Distribution,257347993600.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,16.0,20.0,BURUK 🔴,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,⚠️ PER sedang|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.mpi-indonesia.co.id
