Kode,info_longName,info_sector,info_industry,info_marketCap,info_category,trading_recommendation,technical_trend,technical_momentum,technical_signal,price_action_market_structure,price_action_market_total_zones,fundamental_score,fundamental_rating,valuation_score,valuation_conclusion,valuation_reason,valuation_notes,info_website
DSNG.JK,PT Dharma Satya Nusantara Tbk,Consumer Defensive,Farm Products,16217759809536.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,41.0,60.0,CUKUP KUAT 🟡,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ PBV wajar|✅ Dividend yield tinggi,https://www.dsn.co.id
BSDE.JK,PT Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,19763159891968.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,29.0,60.0,CUKUP KUAT 🟡,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.bsdcity.com
PSGO.JK,PT Palma Serasih Tbk,Consumer Defensive,Farm Products,3920800251904.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,LL,22.0,60.0,CUKUP KUAT 🟡,45.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV wajar|✅ Dividend yield tinggi,https://palmaserasih.co.id
LPKR.JK,PT Lippo Karawaci Tbk,Healthcare,Medical Care Facilities,7371240767488.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,22.0,60.0,CUKUP KUAT 🟡,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|✅ Harga di bawah nilai buku (murah),https://www.lippokarawaci.co.id
CNMA.JK,PT Nusantara Sejahtera Raya Tbk,Communication Services,Entertainment,10251434721280.0,Menengah,WAIT,BULLISH,NETRAL,BUY,LL,22.0,50.0,LEMAH 🟠,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://www.cinema21.co.id
PNGO.JK,PT PINAGO UTAMA Tbk,Consumer Defensive,Farm Products,2726562365440.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,35.0,50.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://www.pinagoutama.com
TLDN.JK,PT Teladan Prima Agro Tbk,Consumer Defensive,Farm Products,8738907881472.0,Kecil,WAIT,BEARISH,NETRAL,SELL,LL,23.0,50.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://www.teladanprima.com
TRIM.JK,PT Trimegah Sekuritas Indonesia Tbk,Financial Services,Capital Markets,4798777655296.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,32.0,50.0,LEMAH 🟠,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi,https://www.trimegah.com
CASS.JK,PT Cahaya Aero Services Tbk.,Industrials,Airports & Air Services,4799985090560.0,Kecil,WAIT,BEARISH,LEMAH (BEARISH),SELL,LL,35.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi,https://casgroup.co.id/en/home
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk,Healthcare,Medical Care Facilities,32821655633920.0,Menengah,WAIT,BEARISH,LEMAH (BEARISH),SELL,LL,24.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.mitrakeluarga.com
MSIN.JK,PT MNC Digital Entertainment Tbk,Communication Services,Entertainment,29731328098304.0,Menengah,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,LL,23.0,50.0,LEMAH 🟠,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://www.mncdigital.com
HATM.JK,PT Habco Trans Maritima Tbk,Industrials,Marine Shipping,3107439771648.0,Kecil,WAIT,SIDEWAYS,LEMAH (BEARISH),NO TRADE,HL,15.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|✅ PBV wajar,https://habcomaritima.com
MERK.JK,PT Merck Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,1487359967232.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,HL,21.0,50.0,LEMAH 🟠,45.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV wajar|✅ Dividend yield tinggi,https://www.merckgroup.com/id-id
SIDO.JK,PT Industri Jamu dan Farmasi Sido Muncul Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,16380375072768.0,Menengah,WAIT,BULLISH,NETRAL,BUY,HL,11.0,50.0,LEMAH 🟠,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.sidomuncul.co.id
SMIL.JK,PT Sarana Mitra Luas Tbk,Industrials,Rental & Leasing Services,2975567183872.0,Kecil,WAIT,BEARISH,LEMAH (BEARISH),NO TRADE,LL,35.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.sml.co.id
NSSS.JK,PT Nusantara Sawit Sejahtera Tbk,Consumer Defensive,Farm Products,29751961976832.0,Menengah,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,30.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://nssgroup.id
RDTX.JK,PT Roda Vivatex Tbk,Real Estate,Real Estate Services,4569599836160.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,22.0,50.0,LEMAH 🟠,45.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ PBV rendah|✅ Dividend yield tinggi,https://www.rodavivatex.co.id
ALII.JK,,Industrials,Marine Shipping,17012735606784.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,29.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.ancaralogistics.co.id
TSPC.JK,PT Tempo Scan Pacific Tbk,Industrials,Conglomerates,12717817593856.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,29.0,50.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV rendah|✅ Dividend yield tinggi,https://www.temposcangroup.com
DCII.JK,PT DCI Indonesia Tbk,Technology,Information Technology Services,525675542872064.0,Bluechip,WAIT,BEARISH,NETRAL,NO TRADE,HL,37.0,50.0,LEMAH 🟠,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://www.dci-indonesia.com
TAPG.JK,PT Triputra Agro Persada Tbk,Consumer Defensive,Farm Products,30275123806208.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,34.0,50.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://www.tap-agri.com
DNET.JK,PT Indoritel Makmur Internasional Tbk.,Communication Services,Telecom Services,128010594287616.0,Bluechip,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,29.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.indoritel.co.id
ADES.JK,PT Akasha Wira International Tbk,Consumer Defensive,Beverages - Non-Alcoholic,9069663354880.0,Kecil,WAIT,BULLISH,NETRAL,BUY,HL,36.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi,https://www.akashainternational.com
PWON.JK,PT Pakuwon Jati Tbk,Real Estate,Real Estate - Diversified,18011689844736.0,Menengah,WAIT,BULLISH,NETRAL,BUY,LL,34.0,50.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.pakuwonjati.com
CMRY.JK,PT Cisarua Mountain Dairy Tbk,Consumer Defensive,Packaged Foods,41061984501760.0,Menengah,WAIT,BEARISH,LEMAH (BEARISH),SELL,LL,38.0,50.0,LEMAH 🟠,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://cimory.com
UNIQ.JK,PT Ulima Nitra Tbk,Energy,Thermal Coal,960528777216.0,Kecil,WAIT,BEARISH,LEMAH (BEARISH),SELL,LL,32.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|✅ PBV wajar,https://www.ulimanitra.co.id
LSIP.JK,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,Consumer Defensive,Farm Products,8183956897792.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,HL,33.0,50.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://londonsumatra.com
ULTJ.JK,PT Ultrajaya Milk Industry & Trading Company Tbk,Consumer Defensive,Beverages - Non-Alcoholic,15129345261568.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,25.0,50.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ PBV wajar|✅ Dividend yield tinggi,https://www.ultrajaya.co.id
PANS.JK,PT Panin Sekuritas Tbk,Financial Services,Capital Markets,1127614644224.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,19.0,50.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.pans.co.id
RALS.JK,PT Ramayana Lestari Sentosa Tbk,Consumer Cyclical,Department Stores,2763968741376.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,19.0,50.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.ramayana.co.id
NICL.JK,PT PAM Mineral Tbk,Basic Materials,Other Industrial Metals & Mining,16538427981824.0,Menengah,WAIT,BULLISH,NETRAL,BUY,LL,38.0,50.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://pammineral.co.id
NOBU.JK,PT Bank Nationalnobu Tbk,Financial Services,Banks - Regional,4038359777280.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,24.0,45.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.nobubank.com
IGAR.JK,PT Champion Pacific Indonesia Tbk,Consumer Cyclical,Packaging & Containers,477807017984.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,LL,13.0,45.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://champion.co.id
BJTM.JK,PT Bank Pembangunan Daerah Jawa Timur Tbk,Financial Services,Banks - Regional,8633911345152.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,6.0,45.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.bankjatim.co.id
ASDM.JK,PT Asuransi Dayin Mitra Tbk,Financial Services,Insurance - Diversified,266879991808.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,22.0,45.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://asuransidayinmitra.com
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,Financial Services,Banks - Regional,17122022391808.0,Menengah,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,HL,29.0,45.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.btn.co.id
BCIP.JK,PT Bumi Citra Permai Tbk,Real Estate,Real Estate - Development,131552231424.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,30.0,45.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://bumicitrapermai.com
EMTK.JK,PT Elang Mahkota Teknologi Tbk,Communication Services,Broadcasting,63576375033856.0,Menengah,WAIT,BEARISH,LEMAH (BEARISH),SELL,LL,44.0,45.0,LEMAH 🟠,45.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV wajar|✅ Dividend yield tinggi,https://www.emtek.co.id
BVIC.JK,PT Bank Victoria International Tbk,Financial Services,Banks - Regional,2644113620992.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,27.0,45.0,LEMAH 🟠,35.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|✅ Harga di bawah nilai buku (murah),https://www.victoriabank.co.id
CLPI.JK,PT Colorpak Indonesia Tbk,Basic Materials,Specialty Chemicals,477888053248.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,27.0,45.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.colorpak.co.id
GOLF.JK,,Consumer Cyclical,Leisure,4988610805760.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,HL,19.0,45.0,LEMAH 🟠,35.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.golflinkresorts.co.id
CTRA.JK,PT Ciputra Development Tbk,Real Estate,Real Estate - Development,16960160006144.0,Menengah,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,HL,37.0,45.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.ciputradevelopment.com
GMFI.JK,PT Garuda Maintenance Facility Aero Asia Tbk,Industrials,Aerospace & Defense,8779503501312.0,Kecil,WAIT,BEARISH,NETRAL,SELL,LL,15.0,45.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.gmf-aeroasia.co.id
CNKO.JK,PT Exploitasi Energi Indonesia Tbk,Energy,Thermal Coal,716508889088.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,18.0,45.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://energigroupindonesia.com
WIIM.JK,PT Wismilak Inti Makmur Tbk,Consumer Defensive,Tobacco,3746770714624.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,44.0,45.0,LEMAH 🟠,45.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV wajar|✅ Dividend yield tinggi,https://www.wismilak.com
AMAN.JK,PT Makmur Berkah Amanda Tbk,Real Estate,Real Estate - Development,1045844983808.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,34.0,45.0,LEMAH 🟠,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|✅ PBV rendah,https://www.mbagroup.id
DSSA.JK,PT Dian Swastatika Sentosa Tbk,Energy,Thermal Coal,706042694467584.0,Bluechip,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,40.0,40.0,LEMAH 🟠,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://dssa.co.id
BIRD.JK,PT Blue Bird Tbk,Industrials,Railroads,4391185416192.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,31.0,40.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.bluebirdgroup.com
DKFT.JK,PT Central Omega Resources Tbk,Basic Materials,Other Industrial Metals & Mining,5044839645184.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,29.0,40.0,LEMAH 🟠,35.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.centralomega.com
UNTR.JK,PT United Tractors Tbk,Basic Materials,Other Industrial Metals & Mining,114401982021632.0,Bluechip,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,46.0,40.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV rendah|✅ Dividend yield tinggi,https://www.unitedtractors.com
PRDA.JK,PT Prodia Widyahusada Tbk,Healthcare,Diagnostics & Research,2268750151680.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,25.0,40.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://prodia.co.id/id
EMDE.JK,PT Megapolitan Developments Tbk,Real Estate,Real Estate Services,335000010752.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,16.0,40.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.megapolitan-group.com
DMAS.JK,PT Puradelta Lestari Tbk,Real Estate,Real Estate - Development,6747735457792.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,8.0,40.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV rendah|✅ Dividend yield tinggi,https://deltamas.id
WIFI.JK,PT Solusi Sinergi Digital Tbk,Technology,Information Technology Services,16721929830400.0,Menengah,WAIT,BEARISH,NETRAL,SELL,LL,37.0,40.0,LEMAH 🟠,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://surge.co.id
DUTI.JK,PT Duta Pertiwi Tbk,Real Estate,Real Estate - Development,7807000117248.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,19.0,40.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,⚠️ PER sedang|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.dutapertiwi.com
TKIM.JK,PT Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,Paper & Paper Products,24594467520512.0,Menengah,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,38.0,40.0,LEMAH 🟠,35.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://tjiwikimia.co.id
RIGS.JK,PT Rig Tenders Indonesia Tbk,Industrials,Marine Shipping,502532243456.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,26.0,40.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://rigtenders.co.id
BUKK.JK,PT Bukaka Teknik Utama Tbk.,Industrials,Engineering & Construction,4185116639232.0,Kecil,WAIT,SIDEWAYS,LEMAH (BEARISH),NO TRADE,LL,20.0,40.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.bukaka.com
SAFE.JK,PT Steady Safe Tbk,Industrials,Railroads,323555753984.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,LL,27.0,40.0,LEMAH 🟠,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi,https://steadysafetbk.co.id
GPRA.JK,PT Perdana Gapuraprima Tbk,Real Estate,Real Estate - Development,577348501504.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,34.0,40.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://gapuraprima.com
CITA.JK,PT Cita Mineral Investindo Tbk,Basic Materials,Other Industrial Metals & Mining,19603788922880.0,Menengah,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,35.0,40.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://www.citamineral.com
IFII.JK,PT Indonesia Fibreboard Industry Tbk,Basic Materials,Lumber & Wood Production,2183583891456.0,Kecil,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,HL,21.0,40.0,LEMAH 🟠,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ PBV wajar|✅ Dividend yield tinggi,https://www.pt-ifi.com
TOTO.JK,PT Surya Toto Indonesia Tbk,Industrials,Building Products & Equipment,2827679956992.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,12.0,40.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV rendah|✅ Dividend yield tinggi,https://www.toto.co.id
SRTG.JK,PT Saratoga Investama Sedaya Tbk,Financial Services,Asset Management,24592947085312.0,Menengah,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,39.0,40.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER rendah|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.saratoga-investama.com
TMAS.JK,PT Temas Tbk.,Industrials,Marine Shipping,9269623652352.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,17.0,40.0,LEMAH 🟠,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.temas.id
STTP.JK,PT Siantar Top Tbk,Consumer Defensive,Packaged Foods,12968999780352.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,19.0,40.0,LEMAH 🟠,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|✅ PBV wajar,https://www.siantartop.co.id
SUPR.JK,PT Solusi Tunas Pratama Tbk,Real Estate,Real Estate Services,49882865860608.0,Menengah,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,LL,0.0,40.0,LEMAH 🟠,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://stptower.com
IPCM.JK,PT Jasa Armada Indonesia Tbk,Industrials,Marine Shipping,1846870016000.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,HL,20.0,40.0,LEMAH 🟠,50.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV rendah|✅ Dividend yield tinggi,https://www.ipcmarine.co.id
IPCC.JK,PT Indonesia Kendaraan Terminal Tbk,Industrials,Integrated Freight & Logistics,2391175856128.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,27.0,40.0,LEMAH 🟠,45.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ PBV wajar|✅ Dividend yield tinggi,https://indonesiacarterminal.co.id
BFIN.JK,PT BFI Finance Indonesia Tbk,Financial Services,Credit Services,10903553572864.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,21.0,40.0,LEMAH 🟠,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.bfi.co.id
